"age","gender","marital_status","annual_income","employment_status","debt_to_income_ratio","credit_score","loan_amount","loan_purpose","interest_rate","loan_term","grade_subgrade","num_of_open_accounts","total_credit_limit","current_balance","delinquency_history","public_records","loan_paid_back","credit_score_category","loan_term_years","borrower_grade","age_group","debt_to_income_rating","loan_amount_segments","loan_paid_back_cat"
"23","Male","Single","73356.57","Employed","0.092","589","28579.38","Debt consolidation","15.89","60","E3","5","102355.5","38663.29","4","0","1","2-Standard","5","E","<25","1. Excellent(<20%)","21k","paid"
"42","Male","Married","58633.23","Employed","0.21","578","16116.67","Medical","17.24","60","F4","4","86242.85","65905.57","5","0","1","3-Risky","5","F","35-49","2. Standard(20-35%)","15-21k","paid"
"73","Male","Married","39383.19","Employed","0.229","732","19078.95","Debt consolidation","12.79","60","C5","3","30102.24","13122.81","2","0","1","2-Standard","5","C","60+","2. Standard(20-35%)","15-21k","paid"
"22","Female","Single","40245.27","Employed","0.113","564","9831.78","Debt consolidation","15.51","36","F4","2","56819.25","41201.7","1","0","0","3-Risky","3","F","<25","1. Excellent(<20%)","9-15k","default"
"44","Male","Widowed","18875.14","Employed","0.158","694","9607.62","Car","12.14","36","C5","5","25809.11","21463.92","4","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
"64","Male","Divorced","70246.14","Employed","0.1","440","8853.43","Debt consolidation","14.32","36","F3","4","79490.56","59161.78","4","0","1","3-Risky","3","F","60+","1. Excellent(<20%)","<9k","paid"
"50","Male","Single","40422.15","Employed","0.067","753","19415.58","Debt consolidation","11.79","36","B5","6","65806.15","48129.85","2","1","1","1-Excellent","3","B","50-59","1. Excellent(<20%)","15-21k","paid"
"58","Female","Divorced","19364.05","Self-employed","0.14","619","18128.74","Education","13.84","36","D3","8","25883.17","15321.34","4","0","1","2-Standard","3","D","50-59","1. Excellent(<20%)","15-21k","paid"
"22","Female","Single","13220.54","Self-employed","0.122","709","9692.3","Debt consolidation","13.68","36","C2","6","23805.97","19098.49","2","0","1","2-Standard","3","C","<25","1. Excellent(<20%)","9-15k","paid"
"41","Male","Married","16936.71","Employed","0.425","705","18627.46","Other","13.52","36","C5","3","25978.62","15219.35","1","0","1","2-Standard","3","C","35-49","3. Risky(36-43%)","15-21k","paid"
"53","Male","Single","37957.37","Employed","0.135","739","9656.48","Car","8.71","36","C1","4","46657.36","37539.24","2","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","9-15k","paid"
"32","Male","Single","7884.14","Employed","0.222","692","5772.28","Business","12.26","36","C1","9","18319.12","16782.77","0","0","1","2-Standard","3","C","25-34","2. Standard(20-35%)","<9k","paid"
"42","Female","Married","18014.35","Employed","0.212","702","11345.92","Home","13.82","60","C3","5","30467.37","27089.2","0","0","1","2-Standard","5","C","35-49","2. Standard(20-35%)","9-15k","paid"
"64","Male","Single","48453.69","Employed","0.195","610","5285.92","Business","10.52","60","D3","1","32166.14","21365.3","5","0","1","2-Standard","5","D","60+","1. Excellent(<20%)","<9k","paid"
"45","Female","Single","27944.46","Self-employed","0.132","553","6268.32","Debt consolidation","15.01","36","F5","3","40793.67","23122.33","2","0","0","3-Risky","3","F","35-49","1. Excellent(<20%)","<9k","default"
"69","Male","Single","12516.84","Employed","0.562","818","10469.04","Debt consolidation","10.09","36","A2","6","20412.01","17283.32","3","0","1","1-Excellent","3","A","60+","4. Danger(>0.43%)","9-15k","paid"
"47","Male","Single","24864.78","Employed","0.111","629","6321.47","Debt consolidation","9.89","36","D2","5","23358.63","18679.74","4","0","1","2-Standard","3","D","35-49","1. Excellent(<20%)","<9k","paid"
"62","Female","Married","34248.84","Employed","0.09","685","10673.12","Debt consolidation","11.68","36","C1","7","45509.72","21928.41","0","1","0","2-Standard","3","C","60+","1. Excellent(<20%)","9-15k","default"
"48","Male","Single","63805.67","Employed","0.199","657","22298.23","Other","14.12","36","D2","7","61717.59","54000.53","4","0","1","2-Standard","3","D","35-49","1. Excellent(<20%)","21k","paid"
"36","Female","Married","47699.49","Unemployed","0.218","806","23171.53","Debt consolidation","7.34","36","A4","5","75385.65","47058.83","3","0","0","1-Excellent","3","A","35-49","2. Standard(20-35%)","21k","default"
"35","Male","Single","46684.56","Employed","0.101","717","13275.22","Debt consolidation","13.28","36","C3","6","36244.87","9210.08","0","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
"67","Female","Single","55926.72","Self-employed","0.088","727","20613.2","Debt consolidation","13.75","60","C2","4","77521.8","6832.02","0","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","15-21k","paid"
"71","Female","Single","13295.77","Employed","0.117","623","13225.93","Car","15.11","36","D2","4","12599.76","8654.39","3","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","9-15k","paid"
"64","Female","Married","76626.81","Employed","0.154","750","8606.43","Business","11.97","36","B1","8","115966.9","6219.9","3","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","<9k","paid"
"75","Male","Single","76748.44","Retired","0.163","759","2284.88","Debt consolidation","10.14","36","B5","5","116481.63","42562.91","1","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","<9k","paid"
"72","Male","Married","25153.1","Self-employed","0.04","719","17789.74","Medical","14.53","36","C4","5","40551.35","12079.77","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","15-21k","paid"
"23","Male","Single","6018.9","Unemployed","0.104","602","26387.55","Debt consolidation","16.3","36","E3","5","9863.04","9349.22","0","0","0","2-Standard","3","E","<25","1. Excellent(<20%)","21k","default"
"57","Female","Married","80634.33","Self-employed","0.241","693","22884.38","Medical","8.01","60","C2","4","76328.19","53751.23","5","0","1","2-Standard","5","C","50-59","2. Standard(20-35%)","21k","paid"
"71","Female","Single","6969.14","Employed","0.206","727","23939.96","Car","10.73","60","C1","4","8478.63","496.35","4","0","1","2-Standard","5","C","60+","2. Standard(20-35%)","21k","paid"
"27","Male","Married","45571.44","Employed","0.143","714","8316.32","Debt consolidation","11.87","60","C4","5","70307.77","9683.34","0","0","1","2-Standard","5","C","25-34","1. Excellent(<20%)","<9k","paid"
"41","Male","Single","27707.6","Employed","0.069","673","10351.45","Debt consolidation","14.6","36","C5","8","35407.59","25604.13","2","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
"29","Female","Single","25314.19","Employed","0.107","608","21421.74","Debt consolidation","14.44","60","E5","4","24710.54","7157.97","1","0","1","2-Standard","5","E","25-34","1. Excellent(<20%)","21k","paid"
"59","Male","Single","28021.38","Employed","0.183","697","10606.79","Other","12.62","36","C4","7","33526.47","1683.26","3","0","0","2-Standard","3","C","50-59","1. Excellent(<20%)","9-15k","default"
"38","Male","Single","39324.09","Employed","0.171","593","15284.49","Debt consolidation","16.08","36","E3","7","46987.9","15402.09","3","0","1","2-Standard","3","E","35-49","1. Excellent(<20%)","15-21k","paid"
"24","Male","Married","10032.47","Employed","0.098","643","19958.98","Education","13.91","60","D2","10","15232.58","1401.49","2","0","1","2-Standard","5","D","<25","1. Excellent(<20%)","15-21k","paid"
"45","Female","Widowed","32388.96","Unemployed","0.44","598","18787.69","Debt consolidation","17.06","36","E3","6","40836.89","32116.05","4","0","0","2-Standard","3","E","35-49","4. Danger(>0.43%)","15-21k","default"
"34","Female","Single","15417.43","Employed","0.09","665","500","Other","13.79","36","D2","7","26456.98","3470.3","4","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","<9k","paid"
"70","Other","Married","26839.94","Employed","0.039","658","33869","Other","16.64","36","D1","4","38585.5","20053.96","2","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","21k","paid"
"29","Male","Single","40020.77","Employed","0.073","655","23131.95","Home","14.15","60","D5","5","48608.42","3133.64","1","0","1","2-Standard","5","D","25-34","1. Excellent(<20%)","21k","paid"
"46","Female","Single","61428.94","Unemployed","0.294","580","2855.15","Medical","12.38","36","E1","5","40047.57","34659.95","3","0","0","2-Standard","3","E","35-49","2. Standard(20-35%)","<9k","default"
"73","Female","Single","23364.87","Employed","0.098","785","19723.17","Business","11.29","60","B3","3","17727.96","2849.65","2","0","1","1-Excellent","5","B","60+","1. Excellent(<20%)","15-21k","paid"
"22","Male","Married","106317.95","Employed","0.106","648","9020.84","Debt consolidation","14.01","36","D3","6","90450.17","4818.95","1","0","1","2-Standard","3","D","<25","1. Excellent(<20%)","9-15k","paid"
"40","Female","Single","21245.26","Self-employed","0.358","652","17952.71","Business","13.23","36","D4","8","30292.09","14114.73","6","0","1","2-Standard","3","D","35-49","3. Risky(36-43%)","15-21k","paid"
"48","Male","Married","21576.38","Employed","0.147","587","22296.51","Education","15.06","36","E1","4","19484.61","15244.96","2","0","1","2-Standard","3","E","35-49","1. Excellent(<20%)","21k","paid"
"67","Male","Single","67313.56","Employed","0.097","605","5207.8","Vacation","12.71","60","E2","7","83247.84","78866.44","2","0","1","2-Standard","5","E","60+","1. Excellent(<20%)","<9k","paid"
"27","Male","Single","31299.21","Retired","0.221","707","13459.01","Debt consolidation","13.32","36","C5","6","50804.49","35883.45","1","0","1","2-Standard","3","C","25-34","2. Standard(20-35%)","9-15k","paid"
"64","Male","Single","40464.81","Unemployed","0.165","791","22931.8","Other","8.65","36","B3","7","50221.45","28359.14","0","1","1","1-Excellent","3","B","60+","1. Excellent(<20%)","21k","paid"
"28","Female","Single","27080.78","Employed","0.094","708","41679.04","Business","11.1","60","C2","2","34160.51","26050.45","1","0","1","2-Standard","5","C","25-34","1. Excellent(<20%)","21k","paid"
"67","Male","Single","29019.47","Self-employed","0.319","682","12183.94","Car","10.89","36","C2","3","45826.67","31322.33","3","0","1","2-Standard","3","C","60+","2. Standard(20-35%)","9-15k","paid"
"55","Male","Single","44794.43","Employed","0.09","733","2044.83","Business","10.44","36","C5","4","47189.73","11009.78","1","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","<9k","paid"
"34","Male","Single","77862.02","Employed","0.052","662","6954.56","Debt consolidation","13.02","36","D4","4","54523.53","38221.83","2","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","<9k","paid"
"37","Female","Married","39502.26","Employed","0.291","667","27060.87","Vacation","14.72","36","D2","7","55874.14","3656.01","4","1","1","2-Standard","3","D","35-49","2. Standard(20-35%)","21k","paid"
"56","Female","Single","46969.67","Employed","0.033","732","17320.78","Other","11.36","36","C3","3","34070.61","10824.32","1","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","15-21k","paid"
"70","Female","Married","65446.1","Employed","0.057","665","15303.67","Car","11.86","36","D5","3","60655.76","30859.15","3","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","15-21k","paid"
"60","Female","Single","27471.78","Self-employed","0.075","798","30714.91","Home","6.49","36","B3","6","42637.75","16777.8","3","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","21k","paid"
"24","Male","Married","20180.13","Employed","0.354","646","10419.48","Debt consolidation","10.43","60","D3","8","27728.17","15539.42","3","0","1","2-Standard","5","D","<25","3. Risky(36-43%)","9-15k","paid"
"22","Male","Single","19642.89","Employed","0.085","645","20987.63","Debt consolidation","14.86","60","D4","9","23777.34","11799.41","3","0","1","2-Standard","5","D","<25","1. Excellent(<20%)","15-21k","paid"
"26","Female","Single","21341.14","Employed","0.254","594","9605.16","Other","14.35","36","E1","9","27770.2","23301.94","2","0","1","2-Standard","3","E","25-34","2. Standard(20-35%)","9-15k","paid"
"74","Male","Widowed","19411.96","Employed","0.118","686","11636.29","Other","12.94","36","C4","6","29245.95","13529.88","0","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","9-15k","paid"
"62","Male","Single","70252.63","Employed","0.293","816","14260.74","Medical","7.82","36","A3","5","88552.78","10801.64","2","0","1","1-Excellent","3","A","60+","2. Standard(20-35%)","9-15k","paid"
"24","Female","Married","11724.35","Employed","0.272","796","4185.81","Home","7.13","36","B5","4","12229.12","4101.02","2","0","1","1-Excellent","3","B","<25","2. Standard(20-35%)","<9k","paid"
"74","Male","Married","51764.58","Employed","0.2","714","3953.41","Business","12.7","60","C4","6","60246.37","3268.62","2","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","<9k","paid"
"49","Male","Single","17412.33","Employed","0.126","692","12889.65","Debt consolidation","15.25","36","C5","2","14588.51","2282.6","2","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","9-15k","paid"
"38","Male","Divorced","106377.8","Employed","0.135","575","10809.07","Debt consolidation","12.45","36","F1","4","93921.55","44205.03","3","0","1","3-Risky","3","F","35-49","1. Excellent(<20%)","9-15k","paid"
"46","Male","Married","46235.93","Employed","0.24","723","23461.16","Medical","7.59","36","C2","6","34847.81","6069.86","1","0","1","2-Standard","3","C","35-49","2. Standard(20-35%)","21k","paid"
"64","Female","Married","21467.5","Employed","0.096","632","4489.55","Other","16.43","36","D4","4","26864.2","16248.31","6","2","1","2-Standard","3","D","60+","1. Excellent(<20%)","<9k","paid"
"54","Female","Widowed","26239.21","Self-employed","0.065","731","22433.03","Home","9.6","36","C3","3","19450.13","9693.8","2","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","21k","paid"
"30","Female","Married","34533.91","Employed","0.252","746","15912.88","Business","14.25","36","B2","8","30213.25","13875.49","2","0","1","1-Excellent","3","B","25-34","2. Standard(20-35%)","15-21k","paid"
"56","Female","Single","53177.17","Employed","0.413","850","10942.58","Home","11.09","36","A3","5","33860.39","20911.03","3","0","1","1-Excellent","3","A","50-59","3. Risky(36-43%)","9-15k","paid"
"34","Male","Married","44424.93","Employed","0.145","661","17284.88","Business","15.05","36","D5","5","66695.67","46016.26","0","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","15-21k","paid"
"51","Male","Single","36023","Employed","0.133","724","17092.49","Debt consolidation","10.05","60","C5","1","44626.95","42350.14","2","0","1","2-Standard","5","C","50-59","1. Excellent(<20%)","15-21k","paid"
"68","Male","Single","23762.57","Retired","0.179","726","8737.08","Home","11.16","36","C3","2","22467.31","21216.64","0","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","<9k","paid"
"35","Male","Married","30518.71","Employed","0.141","662","15806.45","Other","14.32","60","D4","1","38897.78","9318.21","3","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","15-21k","paid"
"28","Other","Divorced","81238.7","Retired","0.116","726","12676.02","Car","12.8","36","C5","10","95993.99","20371.93","3","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","9-15k","paid"
"34","Female","Single","130197.44","Unemployed","0.063","693","18042.75","Other","11.53","36","C2","3","165401.5","76121.42","1","0","1","2-Standard","3","C","25-34","1. Excellent(<20%)","15-21k","paid"
"43","Male","Married","70374.16","Retired","0.119","722","26516.78","Debt consolidation","12.82","36","C5","8","82886.3","43536.92","2","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","21k","paid"
"60","Male","Single","20462.01","Employed","0.295","624","6709.69","Home","15","36","D5","5","16745.3","5389.47","2","0","1","2-Standard","3","D","60+","2. Standard(20-35%)","<9k","paid"
"41","Male","Single","85786.02","Employed","0.102","580","10023.24","Debt consolidation","14.77","36","E1","5","64606.93","50781.58","7","0","0","2-Standard","3","E","35-49","1. Excellent(<20%)","9-15k","default"
"36","Male","Married","29780.08","Unemployed","0.272","658","15067.38","Debt consolidation","12.46","36","D3","2","28543.79","24712.6","5","0","0","2-Standard","3","D","35-49","2. Standard(20-35%)","15-21k","default"
"65","Male","Divorced","36385.73","Retired","0.239","667","24986.54","Education","16.37","60","D5","5","48293.63","22394.54","1","0","1","2-Standard","5","D","60+","2. Standard(20-35%)","21k","paid"
"38","Female","Single","17028.66","Self-employed","0.128","663","5745.56","Car","9.16","60","D5","1","14089.69","4339.74","0","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","<9k","paid"
"67","Female","Single","38876.87","Employed","0.382","615","20487.12","Education","11.77","60","D1","6","59399.96","19005.73","6","0","1","2-Standard","5","D","60+","3. Risky(36-43%)","15-21k","paid"
"73","Female","Single","22673.3","Unemployed","0.113","736","500","Vacation","13.82","36","C3","8","34360.55","2890.97","2","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","<9k","paid"
"44","Male","Married","82896.06","Employed","0.077","677","22705","Debt consolidation","12.9","60","C3","2","77481.84","24865.82","1","0","1","2-Standard","5","C","35-49","1. Excellent(<20%)","21k","paid"
"46","Male","Single","167130.23","Unemployed","0.267","804","26375.58","Other","9.35","60","A2","5","183155.12","12117.19","3","0","0","1-Excellent","5","A","35-49","2. Standard(20-35%)","21k","default"
"45","Female","Single","36280.64","Employed","0.04","653","13374.14","Business","13.56","36","D1","4","44742.77","34166.82","1","0","1","2-Standard","3","D","35-49","1. Excellent(<20%)","9-15k","paid"
"65","Female","Married","48353.84","Employed","0.139","754","11531.97","Debt consolidation","9.5","36","B4","4","55296.81","19797.51","1","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","9-15k","paid"
"61","Female","Single","30193.1","Self-employed","0.177","776","13049.15","Other","11.68","36","B2","5","21257.67","11193.84","0","0","1","1-Excellent","3","B","60+","1. Excellent(<20%)","9-15k","paid"
"49","Female","Single","39025.81","Self-employed","0.101","638","21653.22","Other","13.41","60","D4","5","45509.05","21697.73","2","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","21k","paid"
"35","Female","Married","25469.37","Employed","0.213","713","902.21","Debt consolidation","13.04","36","C4","11","46160.12","37115.36","4","0","1","2-Standard","3","C","35-49","2. Standard(20-35%)","<9k","paid"
"65","Female","Divorced","43773.89","Employed","0.19","713","25948.79","Education","10.74","60","C3","7","46134.09","33901.16","2","0","1","2-Standard","5","C","60+","1. Excellent(<20%)","21k","paid"
"21","Male","Divorced","46216.07","Employed","0.053","580","9054.32","Debt consolidation","15.31","36","E4","6","43173.83","2767.96","4","0","1","2-Standard","3","E","<25","1. Excellent(<20%)","9-15k","paid"
"45","Female","Single","43446.12","Self-employed","0.114","738","32992.76","Debt consolidation","11.77","36","C5","2","42260.9","21293.86","2","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","21k","paid"
"27","Male","Divorced","56839.29","Employed","0.061","702","11700.41","Debt consolidation","11.53","36","C1","3","75474.13","5677.84","2","1","1","2-Standard","3","C","25-34","1. Excellent(<20%)","9-15k","paid"
"29","Male","Married","29184.08","Self-employed","0.01","631","6996.65","Education","15.53","36","D2","4","24219.14","14989.18","0","0","1","2-Standard","3","D","25-34","1. Excellent(<20%)","<9k","paid"
"44","Female","Single","182390.52","Retired","0.069","651","16438.26","Debt consolidation","13.71","60","D5","8","191394.45","88584.82","2","0","1","2-Standard","5","D","35-49","1. Excellent(<20%)","15-21k","paid"
"21","Male","Married","24550.59","Student","0.468","680","17972.01","Medical","11.58","36","C3","5","37601.82","11264.4","2","0","0","2-Standard","3","C","<25","4. Danger(>0.43%)","15-21k","default"
"64","Male","Single","24397.07","Employed","0.125","725","12732.53","Car","11.55","36","C3","1","27122.83","7160.96","1","0","1","2-Standard","3","C","60+","1. Excellent(<20%)","9-15k","paid"
"28","Male","Married","8026.57","Employed","0.281","671","500","Debt consolidation","12.16","60","C2","3","12118.92","4197.59","3","0","1","2-Standard","5","C","25-34","2. Standard(20-35%)","<9k","paid"
"44","Male","Married","57257.11","Employed","0.094","591","11414.78","Business","14.9","36","E4","3","72768.6","50462.17","1","0","1","2-Standard","3","E","35-49","1. Excellent(<20%)","9-15k","paid"
"31","Male","Married","6528.04","Employed","0.301","703","28674.36","Debt consolidation","16.5","60","C4","3","10847.7","5992.38","0","0","1","2-Standard","5","C","25-34","2. Standard(20-35%)","21k","paid"
"71","Male","Single","29583.92","Self-employed","0.036","661","35661.52","Education","12.77","36","D5","7","49860.88","46503.47","4","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","21k","paid"
"37","Male","Married","23126.73","Employed","0.24","685","40266.07","Debt consolidation","16.09","36","C4","5","22703.42","7463.51","5","0","0","2-Standard","3","C","35-49","2. Standard(20-35%)","21k","default"
"28","Male","Single","15318.03","Employed","0.085","697","14930.8","Education","15.31","36","C5","6","15816.69","8769.82","0","0","0","2-Standard","3","C","25-34","1. Excellent(<20%)","9-15k","default"
"55","Other","Divorced","37737.86","Employed","0.208","787","24161.05","Education","10.13","60","B3","5","55270.55","18158.03","1","0","1","1-Excellent","5","B","50-59","2. Standard(20-35%)","21k","paid"
"55","Male","Married","104853.33","Employed","0.199","580","14081.82","Car","14.47","36","E1","4","114548.03","19519.28","5","0","1","2-Standard","3","E","50-59","1. Excellent(<20%)","9-15k","paid"
"53","Male","Single","56273.32","Unemployed","0.244","767","16836.33","Car","12.55","36","B4","5","86448.37","28158.83","0","0","0","1-Excellent","3","B","50-59","2. Standard(20-35%)","15-21k","default"
"25","Female","Single","22976.89","Employed","0.049","748","20935.37","Debt consolidation","10.85","60","B5","5","34351.47","13390.86","2","0","1","1-Excellent","5","B","25-34","1. Excellent(<20%)","15-21k","paid"
"62","Female","Married","119860.8","Employed","0.098","623","20671.31","Debt consolidation","9.65","36","D3","4","170150.63","76822","1","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","15-21k","paid"
"59","Female","Married","23395.38","Employed","0.043","760","17757.35","Business","11.02","60","B1","4","35729.24","31848.96","2","0","1","1-Excellent","5","B","50-59","1. Excellent(<20%)","15-21k","paid"
"61","Male","Married","69993.32","Employed","0.047","613","18166.22","Education","13.94","36","D4","4","78726.72","53894.97","1","0","1","2-Standard","3","D","60+","1. Excellent(<20%)","15-21k","paid"
"48","Female","Single","12802.65","Unemployed","0.197","713","17686.21","Other","12.36","60","C1","7","22636.41","5332.47","4","0","0","2-Standard","5","C","35-49","1. Excellent(<20%)","15-21k","default"
"27","Female","Married","31591.34","Self-employed","0.028","624","25134.1","Debt consolidation","14.64","60","D3","6","42503.57","35038.75","1","0","1","2-Standard","5","D","25-34","1. Excellent(<20%)","21k","paid"
"29","Female","Single","17797.35","Employed","0.233","672","7638.21","Debt consolidation","10.85","36","C1","5","18506.03","15207.83","2","0","1","2-Standard","3","C","25-34","2. Standard(20-35%)","<9k","paid"
"28","Female","Married","126308.04","Student","0.24","723","10559.42","Debt consolidation","11.22","36","C3","8","132129.15","40592.19","4","0","0","2-Standard","3","C","25-34","2. Standard(20-35%)","9-15k","default"
"32","Female","Divorced","23971.59","Employed","0.185","694","10849.28","Medical","10.69","60","C4","7","40822.55","30211.99","0","0","1","2-Standard","5","C","25-34","1. Excellent(<20%)","9-15k","paid"
"54","Female","Married","19680.97","Employed","0.048","665","18419.66","Debt consolidation","12.09","36","D4","7","34057.72","9232","1","0","1","2-Standard","3","D","50-59","1. Excellent(<20%)","15-21k","paid"
"53","Female","Single","48006.18","Self-employed","0.187","692","21910.74","Education","10.32","36","C1","7","59243.34","34559.18","4","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","21k","paid"
"68","Male","Widowed","31263.87","Retired","0.349","641","8325.04","Debt consolidation","14.87","36","D5","2","25772.75","14372.85","5","0","1","2-Standard","3","D","60+","2. Standard(20-35%)","<9k","paid"
"75","Female","Single","131685.53","Unemployed","0.4","677","500","Education","9.11","36","C5","10","146974.01","71521.54","3","0","0","2-Standard","3","C","60+","3. Risky(36-43%)","<9k","default"
"43","Female","Married","43706.81","Employed","0.191","710","30605.55","Debt consolidation","12.79","36","C3","3","57003.45","17797.96","2","0","1","2-Standard","3","C","35-49","1. Excellent(<20%)","21k","paid"
"44","Male","Married","37767.95","Employed","0.205","730","15727.55","Vacation","12.02","60","C4","4","34031.43","18092.33","2","0","1","2-Standard","5","C","35-49","2. Standard(20-35%)","15-21k","paid"
"57","Other","Single","55952.16","Unemployed","0.307","522","22775.29","Car","13.49","36","F5","7","47313.35","44290.09","4","0","0","3-Risky","3","F","50-59","2. Standard(20-35%)","21k","default"
"55","Male","Single","31790.41","Unemployed","0.097","729","9133.98","Debt consolidation","12.2","36","C3","7","51085.86","15990.65","0","0","1","2-Standard","3","C","50-59","1. Excellent(<20%)","9-15k","paid"
"64","Male","Single","41889.24","Employed","0.07","575","13429.31","Medical","15.86","36","F3","8","42875.76","2857.69","3","0","1","3-Risky","3","F","60+","1. Excellent(<20%)","9-15k","paid"
"60","Female","Married","21970.6","Student","0.13","669","17696.95","Debt consolidation","13.77","36","D1","4","22972.57","12143.9","2","0","0","2-Standard","3","D","60+","1. Excellent(<20%)","15-21k","default"
